Region,Country,Source Name,Type,Bias / Lean,Language,Notes,RSS_URL
South America,Argentina,El Destape,Digital,Left,Spanish,Progressive; Kirchnerist-adjacent,https://www.eldestapeweb.com/rss.xml
South America,Argentina,La Derecha Diario,Digital,Right,Spanish,Right-wing commentary,https://www.laDerechaDiario.com.ar/feed/
South America,Colombia,El Tiempo,Newspaper / Digital,Center,Spanish,Largest Colombian daily; Santos family,https://www.eltiempo.com/rss/ultimas_noticias.xml
South America,Colombia,El Espectador,Newspaper / Digital,Center-Left,Spanish,Oldest daily; strong investigative tradition,https://www.elespectador.com/arc/outboundfeeds/rss/
South America,Colombia,Semana,Magazine / Digital,Center-Right,Spanish,Leading newsmagazine,https://www.semana.com/rss-feed/
South America,Colombia,La Silla Vacía,Digital,Center-Left,Spanish,Political analysis and investigative,https://lasillavacia.com/feed/
South America,Colombia,Caracol TV/Radio,TV / Radio / Digital,Center,Spanish,Major broadcast network,https://www.caracoltv.com/rss
South America,Colombia,RCN,TV / Radio / Digital,Center-Right,Spanish,Second major broadcast network,https://www.rcnradio.com/feed
South America,Colombia,Cuestión Pública,Digital,Center-Left,Spanish,Anti-corruption investigative,https://cuestionpublica.com/feed/
South America,Chile,El Mercurio,Newspaper / Digital,Center-Right,Spanish,Conservative paper of record; Edwards family,https://www.emol.com/rss/_utilidades/rssExport.aspx?idcategoria=0
South America,Chile,La Tercera,Newspaper / Digital,Center-Right,Spanish,Second major daily,https://www.latercera.com/feed/
South America,Chile,CIPER Chile,Digital (Nonprofit),Center-Left,Spanish,Top investigative journalism,https://www.ciperchile.cl/feed/
South America,Chile,The Clinic,Magazine / Digital,Left,Spanish,Satirical/progressive,https://www.theclinic.cl/feed
South America,Chile,Interferencia,Digital,Left,Spanish,Investigative,https://interferencia.cl/rss.xml
South America,Chile,BioBioChile,Radio / Digital,Center,Spanish,Radio network with large digital presence,https://www.biobiochile.cl/feed
South America,Chile,Ex-Ante,Digital,Center-Right,Spanish,Political analysis,https://www.ex-ante.cl/feed
South America,Peru,El Comercio,Newspaper / Digital,Center-Right,Spanish,Leading Peruvian daily; Grupo El Comercio,https://elcomercio.pe/arcio/rss/
South America,Peru,La República,Newspaper / Digital,Center-Left,Spanish,Progressive daily,https://larepublica.pe/rss/
South America,Peru,IDL-Reporteros,Digital,Center-Left,Spanish,Investigative unit,
South America,Peru,Ojo Público,Digital (Nonprofit),Center-Left,Spanish,Data journalism / investigative,https://ojo-publico.com/?feed=rss2
South America,Peru,RPP Noticias,Radio / Digital,Center,Spanish,Largest radio network,https://rpp.pe/rss/feed
South America,Venezuela,El Nacional,Newspaper / Digital,Center-Right,Spanish,"Opposition; shuttered print, digital continues",
South America,Venezuela,El Universal,Newspaper / Digital,Center,Spanish,Major daily; sold in 2014 (ownership questions),https://www.eluniversal.com.mx/rss.xml
South America,Venezuela,Efecto Cocuyo,Digital,Center-Left,Spanish,Independent digital; post-crackdown,https://efectococuyo.com/feed/
South America,Venezuela,Runrun.es,Digital,Center,Spanish,Independent investigative,https://runrun.es/feed/
South America,Venezuela,VTV (Venezolana de Televisión),TV,State-Controlled,Spanish,State broadcaster; Chavista,
South America,Venezuela,TeleSUR,TV / Digital,State-Controlled,Spanish,Venezuelan-funded pan-Latin network; left,https://www.telesurtv.net/rss/
South America,Venezuela,Tal Cual,Digital,Center-Right,Spanish,Opposition digital,https://talcualdigital.com/feed
South America,Ecuador,El Universo,Newspaper / Digital,Center-Right,Spanish,Guayaquil-based; largest daily,https://www.eluniverso.com/rss
South America,Ecuador,El Comercio,Newspaper / Digital,Center,Spanish,Quito-based daily,https://elcomercio.pe/arcio/rss/
South America,Ecuador,GK (formerly GkillCity),Digital,Center-Left,Spanish,Independent digital journalism,https://gk.city/feed/
South America,Ecuador,Plan V,Digital,Center-Left,Spanish,Investigative,https://planv.com.ec/feed/
South America,Bolivia,El Deber,Newspaper / Digital,Center-Right,Spanish,Santa Cruz; largest daily,https://eldeber.com.bo/feed
South America,Bolivia,Página Siete,Newspaper / Digital,Center,Spanish,"La Paz daily (closed 2023, digital continues)",https://www.paginasiete.bo/rss/
South America,Bolivia,Los Tiempos,Newspaper / Digital,Center,Spanish,Cochabamba daily,https://www.lostiempos.com/rss.xml
South America,Bolivia,Erbol,Radio / Digital,Center-Left,Spanish,Radio network; community-oriented,https://erbol.com.bo/rss.xml
South America,Paraguay,ABC Color,Newspaper / Digital,Center-Right,Spanish,Largest Paraguayan daily,https://www.abc.com.py/rss
South America,Paraguay,Última Hora,Newspaper / Digital,Center,Spanish,Second daily,https://www.ultimahora.com/feed
South America,Paraguay,El Surtidor,Digital,Center-Left,Spanish,Visual investigative journalism,https://www.elsurtidor.com/feed/
South America,Uruguay,El País,Newspaper / Digital,Center-Right,Spanish,Largest Uruguayan daily,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada
South America,Uruguay,La Diaria,Newspaper / Digital,Left,Spanish,Cooperative-owned progressive daily,https://ladiaria.com.uy/feed/
South America,Uruguay,El Observador,Newspaper / Digital,Center,Spanish,Quality daily,https://www.elobservador.com.uy/rss.xml
Europe,United Kingdom,BBC News,Public Broadcaster,Center,English,Global reach; publicly funded,http://feeds.bbci.co.uk/news/rss.xml
Europe,United Kingdom,The Guardian,Newspaper / Digital,Center-Left,English,Scott Trust-owned; strong digital,https://www.theguardian.com/world/rss
Europe,United Kingdom,The Times,Newspaper / Digital,Center-Right,English,News UK (Murdoch); paper of record,https://www.thetimes.co.uk/rss/feed
Europe,United Kingdom,The Daily Telegraph,Newspaper / Digital,Right,English,Conservative broadsheet,https://www.telegraph.co.uk/rss.xml
Europe,United Kingdom,Financial Times,Newspaper / Digital,Center,English,Nikkei-owned; global business standard,https://www.ft.com/world?format=rss
Europe,United Kingdom,The Independent,Digital,Center-Left,English,Digital-only since 2016,https://www.independent.co.uk/news/rss
Europe,United Kingdom,The Economist,Magazine / Digital,Center,English,Classical liberal; global analysis,https://www.economist.com/rss/the_world_this_week_rss.xml
Europe,United Kingdom,Daily Mail,Newspaper / Digital,Right,English,Tabloid; largest UK digital news site,https://www.dailymail.co.uk/articles.rss
Europe,United Kingdom,The Sun,Newspaper / Digital,Right,English,Tabloid; News UK,https://www.thesun.co.uk/feed/
Europe,United Kingdom,Daily Mirror,Newspaper / Digital,Left,English,Labour-leaning tabloid,https://www.mirror.co.uk/news/?service=rss
Europe,United Kingdom,The Observer,Newspaper / Digital,Center-Left,English,Sunday sister of The Guardian,https://www.theguardian.com/theobserver/rss
Europe,United Kingdom,Sky News,TV / Digital,Center,English,Comcast-owned; 24hr news,https://feeds.skynews.com/feeds/rss/home.xml
Europe,United Kingdom,Channel 4 News,TV / Digital,Center-Left,English,Publicly-owned; award-winning,https://www.channel4.com/news/feed/topstories/rss.xml
Europe,United Kingdom,The Spectator,Magazine / Digital,Right,English,Conservative weekly (est. 1828),https://www.spectator.co.uk/feed/
Europe,United Kingdom,New Statesman,Magazine / Digital,Left,English,Progressive political/cultural,https://www.newstatesman.com/feed
Europe,United Kingdom,Private Eye,Magazine,Varies,English,Satirical investigative fortnightly,https://www.private-eye.co.uk/rss
Europe,United Kingdom,GB News,TV / Digital,Right,English,Conservative TV channel (est. 2021),https://www.gbnews.com/feeds/news.rss
Europe,United Kingdom,The Canary,Digital,Far Left,English,Left-wing; pro-Corbyn era,https://www.thecanary.co/feed/
Europe,United Kingdom,Novara Media,Digital,Far Left,English,Socialist media outlet,https://novaramedia.com/feed/
Europe,United Kingdom,UnHerd,Digital,Center-Right,English,Contrarian / heterodox,https://unherd.com/feed/
Europe,United Kingdom,Bureau of Investigative Journalism,Digital (Nonprofit),Center,English,Nonprofit investigative,https://www.thebureauinvestigates.com/feed
Europe,France,Le Monde,Newspaper / Digital,Center-Left,French,Paper of record; evening daily,https://www.lemonde.fr/rss/une.xml
Europe,France,Le Figaro,Newspaper / Digital,Center-Right,French,Oldest national daily; conservative,https://www.lefigaro.fr/rss/figaro_actualites.xml
Europe,France,Libération,Newspaper / Digital,Left,French,Left-wing; Sartre co-founded,https://www.liberation.fr/arc/outboundfeeds/rss/?outputType=xml
Europe,France,Les Échos,Newspaper / Digital,Center-Right,French,Business daily; LVMH-owned,https://www.lesechos.fr/rss/rss_une.xml
Europe,France,France 24,TV / Digital,Center,French / English / Arabic,State-funded international news,https://www.france24.com/en/rss
Europe,France,Mediapart,Digital,Left,French,Investigative; subscription-only,https://www.mediapart.fr/articles/feed
Europe,France,L'Humanité,Newspaper / Digital,Far Left,French,Communist Party affiliated,https://www.humanite.fr/feed
Europe,France,Valeurs Actuelles,Magazine / Digital,Right,French,Conservative-nationalist weekly,https://www.valeursactuelles.com/feed
Europe,France,CNews,TV,Right,French,Bolloré-owned; right-wing TV,https://www.cnews.fr/rss.xml
Europe,France,Le Point,Magazine / Digital,Center-Right,French,Centrist-conservative weekly,https://www.lepoint.fr/rss.xml
Europe,France,L'Obs (Nouvel Obs),Magazine / Digital,Center-Left,French,Progressive newsweekly,https://www.nouvelobs.com/rss.xml
Europe,France,AFP (Agence France-Presse),Wire Service,Center,French / Multi,Global wire service; third largest,https://www.afp.com/en/rss-feeds
Europe,France,RFI,Radio / Digital,Center,French / Multi,State-funded international radio,https://www.rfi.fr/en/rss-feeds
Europe,France,BFM TV,TV / Digital,Center,French,24hr news channel,https://www.bfmtv.com/rss/info/flux-rss/
Europe,Germany,Der Spiegel,Magazine / Digital,Center-Left,German,Largest European newsmagazine,https://www.spiegel.de/schlagzeilen/index.rss
Europe,Germany,Die Zeit,Newspaper / Digital,Center-Left,German,Quality weekly,https://newsfeed.zeit.de/index
Europe,Germany,Süddeutsche Zeitung,Newspaper / Digital,Center-Left,German,Largest daily; Panama Papers,https://rss.sueddeutsche.de/rss/topthemen
Europe,Germany,Frankfurter Allgemeine Zeitung (FAZ),Newspaper / Digital,Center-Right,German,Conservative broadsheet,https://www.faz.net/rss/aktuell/
Europe,Germany,Die Welt,Newspaper / Digital,Center-Right,German,Axel Springer; conservative,https://www.welt.de/feeds/latest.rss
Europe,Germany,Bild,Newspaper / Digital,Right,German,Largest-circulation tabloid; Axel Springer,"https://www.bild.de/rssfeeds/rss3-20745882,short=1/rss3-20745882,short=1.bild.xml"
Europe,Germany,Handelsblatt,Newspaper / Digital,Center-Right,German,Business daily,https://www.handelsblatt.com/contentexport/feed/schlagzeilen
Europe,Germany,Tagesschau / ARD,Public Broadcaster,Center,German,Public TV news; consortium,https://www.tagesschau.de/xml/rss2/
Europe,Germany,ZDF,Public Broadcaster,Center,German,Second public broadcaster,https://www.zdf.de/rss-feed.xml
Europe,Germany,Deutsche Welle (DW),TV / Radio / Digital,Center,German / Multi,State-funded international,https://rss.dw.com/rdf/rss-en-all
Europe,Germany,taz (die tageszeitung),Newspaper / Digital,Left,German,Cooperative-owned; green/left,https://taz.de/!p4608;rss/
Europe,Germany,Junge Freiheit,Newspaper / Digital,Far Right,German,Right-wing nationalist weekly,https://jungefreiheit.de/feed/
Europe,Germany,Compact,Magazine / Digital,Far Right,German,Right-wing populist (banned 2024),https://www.compact-online.de/feed/
Europe,Germany,Jacobin (DE),Magazine / Digital,Far Left,German,German edition of socialist mag,https://jacobin.de/rss
Europe,Germany,Correctiv,Digital (Nonprofit),Center,German,Fact-checking and investigative nonprofit,https://correctiv.org/feed/
Europe,Italy,Corriere della Sera,Newspaper / Digital,Center,Italian,Milan-based; paper of record,https://xml2.corriereobjects.it/rss/homepage.xml
Europe,Italy,La Repubblica,Newspaper / Digital,Center-Left,Italian,GEDI Group; progressive,https://www.repubblica.it/rss/homepage/rss2.0.xml
Europe,Italy,La Stampa,Newspaper / Digital,Center-Left,Italian,Turin-based; GEDI Group,https://www.lastampa.it/rss
Europe,Italy,Il Sole 24 Ore,Newspaper / Digital,Center-Right,Italian,Business daily; Confindustria,https://www.ilsole24ore.com/rss/italia--e-mondo.xml
Europe,Italy,Il Giornale,Newspaper / Digital,Right,Italian,Berlusconi family-owned,https://www.ilgiornale.it/rss.xml
Europe,Italy,Libero,Newspaper / Digital,Right,Italian,Right-wing populist daily,https://www.liberoquotidiano.it/rss.xml
Europe,Italy,Il Fatto Quotidiano,Newspaper / Digital,Left,Italian,Anti-establishment investigative,https://www.ilfattoquotidiano.it/feed/
Europe,Italy,RAI News,Public Broadcaster,Center,Italian,State broadcaster,https://www.rainews.it/rss
Europe,Italy,ANSA,Wire Service,Center,Italian,Italian national wire service,https://www.ansa.it/sito/ansait_rss.xml
Europe,Italy,Il Manifesto,Newspaper / Digital,Far Left,Italian,Communist daily (cooperative),https://ilmanifesto.it/feed
Europe,Italy,Domani,Newspaper / Digital,Center-Left,Italian,Founded 2020; investigative,https://www.editorialedomani.it/feed
Europe,Spain,El País,Newspaper / Digital,Center-Left,Spanish,Largest Spanish daily; PRISA Group,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada
Europe,Spain,El Mundo,Newspaper / Digital,Center-Right,Spanish,Second largest; Unidad Editorial,https://e00-elmundo.uecdn.es/elmundo/rss/portada.xml
Europe,Spain,ABC,Newspaper / Digital,Right,Spanish,Monarchist / conservative,https://www.abc.es/rss/feeds/abc_EspanaEspana.xml
Europe,Spain,La Vanguardia,Newspaper / Digital,Center,Spanish / Catalan,Barcelona-based; Godó Group,https://www.lavanguardia.com/mvc/feed/rss/home
Europe,Spain,El Confidencial,Digital,Center,Spanish,Leading digital-native,https://rss.elconfidencial.com/espana/
Europe,Spain,elDiario.es,Digital,Left,Spanish,Member-funded progressive,https://www.eldiario.es/rss/
Europe,Spain,Público,Digital,Left,Spanish,Left-wing digital,https://www.publico.pt/api/rss
